method,baseline_method,condition,metric,n_baseline,n_recovery,baseline_mean,recovery_mean,delta,ci_lo,ci_hi,p_value,test_type,p_value_bh,significant_bh
sac_her_recovery_v4,sac_her,action_reversal,recovery_time,450,450,0.0,136.0,136.0,136.0,136.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v4,sac_her,action_reversal,num_interventions,450,450,0.0,1.0,1.0,1.0,1.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v4,sac_her,goal_spoof_immediate,recovery_time,450,450,0.0,124.45333333333333,124.45333333333333,121.13516666666666,127.60255555555555,1.3283979656160203e-79,paired_wilcoxon,2.872211817548152e-79,True
sac_her_recovery_v4,sac_her,goal_spoof_immediate,num_interventions,450,450,0.0,1.0244444444444445,1.0244444444444445,0.9577777777777777,1.1333333333333333,1.2563569167211986e-93,paired_wilcoxon,5.0254276668847945e-93,True
sac_her_recovery_v4,sac_her,goal_spoof_midep,recovery_time,450,450,0.0,81.25111111111111,81.25111111111111,79.23761111111111,83.1445,6.69739702035989e-73,paired_wilcoxon,1.0109278521297948e-72,True
sac_her_recovery_v4,sac_her,goal_spoof_midep,num_interventions,450,450,0.0,0.98,0.98,0.9511111111111111,1.011111111111111,2.987846164933033e-94,paired_wilcoxon,1.2580404904981193e-93,True
sac_her_recovery_v4,sac_her,object_pose_spoof,recovery_time,450,450,0.0,102.15555555555555,102.15555555555555,97.06644444444444,107.08694444444444,5.46712192305147e-66,paired_wilcoxon,7.810174175787814e-66,True
sac_her_recovery_v4,sac_her,object_pose_spoof,num_interventions,450,450,0.0,1.1377777777777778,1.1377777777777778,0.9555555555555556,1.3644444444444443,1.4765556221019294e-82,paired_wilcoxon,3.6913890552548234e-82,True
sac_her_recovery_v4,sac_her,grip_state_falsification,recovery_time,450,450,0.0,124.44222222222223,124.44222222222223,121.23088888888888,127.45122222222223,3.4967335438327076e-73,paired_wilcoxon,5.379590067434935e-73,True
sac_her_recovery_v4,sac_her,grip_state_falsification,num_interventions,450,450,0.0,0.9488888888888889,0.9488888888888889,0.9266666666666666,0.9688888888888889,7.308748903350318e-95,paired_wilcoxon,3.654374451675159e-94,True
sac_her_recovery_v4,sac_her,contact_dropout,recovery_time,450,450,0.0,135.99555555555557,135.99555555555557,135.98888888888888,136.0,1.939219768254691e-99,paired_wilcoxon,1.723750905115281e-98,True
sac_her_recovery_v4,sac_her,contact_dropout,num_interventions,450,450,0.0,1.0,1.0,1.0,1.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
sac_her_recovery_v4_hx6,sac_her,sensor_dropout,recovery_time,450,450,0.0,126.01555555555555,126.01555555555555,126.00222222222222,126.03111111111112,1.3474072011883643e-97,paired_wilcoxon,8.982714674589095e-97,True
sac_her_recovery_v4_hx6,sac_her,sensor_dropout,num_interventions,450,450,0.0,2.0,2.0,2.0,2.0,7.212994172450795e-100,paired_wilcoxon,8.243421911372336e-99,True
